ID,label,,,,,,,,,,,,,,,,,,,,,,
0888-A-S1,0,,,,,,,,,,,,,,,,,,,,,,
0920-A-S1,0,,,,,,,,,,,,,,,,,,,,,,
0921-A-S1,0,,,,,,,,,,,,,,,,,,,,,,
0957-A-S2,0,,,,,,,,,,,,,,,,,,,,,,
0968-A-S2,0,,,,,,,,,,,,,,,,,,,,,,
0982-A-S4,1,,,,,,,,,,,,,,,,,,,,,,
0992-A-S4,1,,,,,,,,,,,,,,,,,,,,,,
0993-A-S4,1,,,,,,,,,,,,,,,,,,,,,,
1000-A-S4,1,,,,,,,,,,,,,,,,,,,,,,
1001-A-S4,1,,,,,,,,,,,,,,,,,,,,,,
1004-A-S4,1,,,,,,,,,,,,,,,,,,,,,,
1006-A-S4,1,,,,,,,,,,,,,,,,,,,,,,
1007-A-S4,1,,,,,,,,,,,,,,,,,,,,,,
1008-A-S4,1,,,,,,,,,,,,,,,,,,,,,,
1009-A-S4,1,,,,,,,,,,,,,,,,,,,,,,
1013-A-S4,1,,,,,,,,,,,,,,,,,,,,,,
1015-A-S4,1,,,,,,,,,,,,,,,,,,,,,,
1018-A-S4,1,,,,,,,,,,,,,,,,,,,,,,
1021-A-S4,1,,,,,,,,,,,,,,,,,,,,,,
1022-A-S4,1,,,,,,,,,,,,,,,,,,,,,,
1029-A-S4,1,,,,,,,,,,,,,,,,,,,,,,
1035-A-S4,1,,,,,,,,,,,,,,,,,,,,,,
1039-A-S4,1,,,,,,,,,,,,,,,,,,,,,,
1041-A-S4,1,,,,,,,,,,,,,,,,,,,,,,
1053-A-S3,0,,,,,,,,,,,,,,,,,,,,,,
1885-A-S1,0,,,,,,,,,,,,,,,,,,,,,,
1886-A-S1,0,,,,,,,,,,,,,,,,,,,,,,
1887-A-S1,0,,,,,,,,,,,,,,,,,,,,,,
1888-A-S1,0,,,,,,,,,,,,,,,,,,,,,,
1889-A-S1,0,,,,,,,,,,,,,,,,,,,,,,
1890-A-S1,0,,,,,,,,,,,,,,,,,,,,,,
1893-A-S1,0,,,,,,,,,,,,,,,,,,,,,,
1895-A-S1,0,,,,,,,,,,,,,,,,,,,,,,
1896-A-S1,0,,,,,,,,,,,,,,,,,,,,,,
1897-A-S1,0,,,,,,,,,,,,,,,,,,,,,,
1898-A-S1,0,,,,,,,,,,,,,,,,,,,,,,
1899-A-S1,0,,,,,,,,,,,,,,,,,,,,,,
1900-A-S1,0,,,,,,,,,,,,,,,,,,,,,,
1901-A-S1,0,,,,,,,,,,,,,,,,,,,,,,
1906-A-S1,0,,,,,,,,,,,,,,,,,,,,,,
1907-A-S1,0,,,,,,,,,,,,,,,,,,,,,,
1908-A-S1,0,,,,,,,,,,,,,,,,,,,,,,
1910-A-S1,0,,,,,,,,,,,,,,,,,,,,,,
1912-A-S1,0,,,,,,,,,,,,,,,,,,,,,,
1913-A-S1,0,,,,,,,,,,,,,,,,,,,,,,
1914-A-S1,0,,,,,,,,,,,,,,,,,,,,,,
1915-A-S1,0,,,,,,,,,,,,,,,,,,,,,,
1918-A-S1,0,,,,,,,,,,,,,,,,,,,,,,
1919-A-S1,0,,,,,,,,,,,,,,,,,,,,,,
1920-A-S1,0,,,,,,,,,,,,,,,,,,,,,,
1925-A-S1,0,,,,,,,,,,,,,,,,,,,,,,
1926-A-S1,0,,,,,,,,,,,,,,,,,,,,,,
1927-A-S1,0,,,,,,,,,,,,,,,,,,,,,,
1929-A-S1,0,,,,,,,,,,,,,,,,,,,,,,
1930-A-S1,0,,,,,,,,,,,,,,,,,,,,,,
1931-A-S1,0,,,,,,,,,,,,,,,,,,,,,,
1932-A-S1,0,,,,,,,,,,,,,,,,,,,,,,
1933-A-S1,0,,,,,,,,,,,,,,,,,,,,,,
1934-A-S1,0,,,,,,,,,,,,,,,,,,,,,,
